region,State,value_avg
alabama,alabama,0.013243945573975117
alaska,alaska,0.04635401165202774
arizona,arizona,0.012987383265664848
arkansas,arkansas,0.02775240114401142
california,california,0.02204954204710518
colorado,colorado,0.023218207531067864
connecticut,connecticut,0.004273440315038135
delaware,delaware,0.012491830804927273
district of columbia,district of columbia,0.0021539834660294506
florida,florida,0.009174425336919312
georgia,georgia,0.010139839594500993
hawaii,hawaii,0.015345192058987541
idaho,idaho,0.04903130999774079
illinois,illinois,0.010405315049338741
indiana,indiana,0.01206683040048943
iowa,iowa,0.036803892041457224
kansas,kansas,0.031234110726772426
kentucky,kentucky,0.019670106426431563
louisiana,louisiana,0.03542654959741501
maine,maine,0.025355360117552496
maryland,maryland,0.005055340332485756
massachusetts,massachusetts,0.004127289604728273
michigan,michigan,0.011341376023729288
minnesota,minnesota,0.02048523110261617
mississippi,mississippi,0.023356731781039516
missouri,missouri,0.01672589586478066
montana,montana,0.06306541490142223
nebraska,nebraska,0.04361977001767163
nevada,nevada,0.014461032846820158
new hampshire,new hampshire,0.00802614690788479
new jersey,new jersey,0.0034004180039571546
new mexico,new mexico,0.04085159577302701
new york,new york,0.005522302550700772
north carolina,north carolina,0.012285103423324164
north dakota,north dakota,0.0939392454192102
ohio,ohio,0.009587934751972275
oklahoma,oklahoma,0.045913648595734144
oregon,oregon,0.031222272187542865
pennsylvania,pennsylvania,0.012715655601999646
puerto rico,puerto rico,0.013133933026721547
rhode island,rhode island,0.004329248632237105
south carolina,south carolina,0.008874357836937444
south dakota,south dakota,0.06339172433613899
tennessee,tennessee,0.009522645896659838
texas,texas,0.028958498741843895
utah,utah,0.016063211299748033
vermont,vermont,0.026189764237011172
virginia,virginia,0.008535268850291256
washington,washington,0.025073652906943855
west virginia,west virginia,0.03664181894903028
wisconsin,wisconsin,0.021360231553029508
wyoming,wyoming,0.10681006473695599
