Year,Total_Male_with_Income_thousands,Male_Median_Income (2024 $),Total_Female_with_Income_thousands,Female_Median_Income (2024 $),Region
2024,123000,52480,123400,36910,US Average
2023,120600,52680,121200,36330,US Average
2022,119400,51650,119700,34950,US Average
2021,118200,52720,119300,35520,US Average
2020 (41),117900,51210,118400,35280,US Average
2019,116600,53700,118700,35640,US Average
2018,115200,51180,116900,33300,US Average
2017 (40),114700,50680,116500,32490,US Average
2017,114800,50680,116600,31980,US Average
2016,113200,49620,115400,31780,US Average
2015,112300,47840,114400,30620,US Average
2014,110400,46720,112600,28620,US Average
2013 (39),109900,46510,112100,28880,US Average
2013 (38),108700,45990,110000,28800,US Average
2012,107500,44790,109400,28430,US Average
2011,106200,44420,108300,28420,US Average
2010 (37),105200,44720,107200,28850,US Average
2009 (36),105000,45300,106200,29500,US Average
2008,105400,46490,106400,29250,US Average
2007,104800,48240,105200,30410,US Average
2006,103900,48090,104600,29830,US Average
2005,103000,47970,104200,28490,US Average
2004 (35),101800,48160,103400,27880,US Average
2003,100800,48420,102700,27920,US Average
2002,99790,48290,102500,27770,US Average
2001,98870,48660,101900,27780,US Average
2000 (30),98500,48460,101700,27490,US Average
2024,21070,57010,21880,40800,Northeast
2023,20530,55780,21480,38120,Northeast
2022,20670,53900,21380,37670,Northeast
2021,20380,56450,21410,38080,Northeast
2020 (41),20610,56250,21600,39230,Northeast
2019,20070,57780,21040,38010,Northeast
2018,19970,55510,20960,35990,Northeast
2017 (40),20330,53950,21150,34120,Northeast
2017,20430,53070,21210,33720,Northeast
2016,19920,52800,21080,34830,Northeast
2015,20130,52740,20920,32700,Northeast
2014,19980,48240,20820,30730,Northeast
2013 (39),19980,49100,20660,31350,Northeast
2013 (38),19690,48910,20450,30450,Northeast
2012,19240,48020,20390,29780,Northeast
2011,19300,48150,20330,29450,Northeast
2010 (37),19120,49230,20130,29740,Northeast
2009 (36),19120,49850,20120,31060,Northeast
2008,19210,50140,20180,30740,Northeast
2007,19100,50750,20010,31520,Northeast
2006,19120,52500,19960,30240,Northeast
2005,19240,50040,20030,29860,Northeast
2004 (35),19000,50420,20020,28880,Northeast
2003,18830,50820,20100,29040,Northeast
2002,19040,50620,20250,28480,Northeast
2001,19210,51230,20290,28540,Northeast
2000 (30),18870,51870,20330,27870,Northeast
2024,29700,55650,28400,37710,West
2023,28920,52810,27750,36840,West
2022,28620,53700,27300,36600,West
2021,28300,54320,27470,36690,West
2020 (41),28160,53240,27230,35840,West
2019,28350,54900,27500,36050,West
2018,27800,51590,26850,33970,West
2017 (40),27500,51410,26730,32830,West
2017,27540,51100,26720,32320,West
2016,27190,50260,26260,31330,West
2015,26700,47710,26110,30370,West
2014,26130,46140,25360,28620,West
2013 (39),25930,47550,25180,29770,West
2013 (38),25500,45170,24550,28960,West
2012,25520,44320,24480,27860,West
2011,24900,43380,24150,28560,West
2010 (37),24600,45030,23970,28840,West
2009 (36),24580,46720,23670,29740,West
2008,25000,49150,23620,30010,West
2007,24650,50300,23350,31500,West
2006,24240,48870,23120,30670,West
2005,23850,48450,22820,28480,West
2004 (35),23490,48390,22570,28340,West
2003,23050,49220,22450,28310,West
2002,22780,48050,22020,28540,West
2001,22240,47960,21550,28390,West
2000 (30),22110,48300,21560,28010,West
2024,46640,50930,47320,34730,South
2023,45710,51310,46350,33590,South
2022,44860,48550,45570,33880,South
2021,44480,48490,44890,33380,South
2020 (41),43960,49090,44240,32500,South
2019,43400,50140,44670,33220,South
2018,42750,49380,43880,31890,South
2017 (40),42410,46890,43470,31330,South
2017,42370,47470,43580,30290,South
2016,41870,47000,42950,30150,South
2015,41090,45730,42360,29180,South
2014,40010,45460,41580,27740,South
2013 (39),40220,42300,41610,27310,South
2013 (38),39590,43790,40540,27870,South
2012,39330,42520,40270,27810,South
2011,38970,43250,39710,28050,South
2010 (37),38240,43450,39240,28480,South
2009 (36),37970,43700,38650,28520,South
2008,37860,44410,38520,28220,South
2007,37740,46340,37810,29560,South
2006,37140,46430,37640,28740,South
2005,36520,45990,37380,27630,South
2004 (35),36160,45420,36910,27100,South
2003,35650,44670,36260,26960,South
2002,35040,45460,36280,26790,South
2001,34370,45720,35750,26630,South
2000 (30),34190,45490,35900,26550,South
2024,25620,52690,25830,37730,Midwest
2023,25400,53550,25630,37520,Midwest
2022,25280,53480,25430,34810,Midwest
2021,25080,53850,25500,35600,Midwest
2020 (41),25210,52320,25360,35680,Midwest
2019,24730,55820,25520,36540,Midwest
2018,24710,52130,25230,33690,Midwest
2017 (40),24510,51550,25110,32690,Midwest
2017,24510,51340,25110,32580,Midwest
2016,24180,51120,25090,31900,Midwest
2015,24410,50260,25050,31190,Midwest
2014,24260,48160,24850,28870,Midwest
2013 (39),23810,48060,24620,29400,Midwest
2013 (38),23930,46510,24420,29390,Midwest
2012,23450,46210,24240,28930,Midwest
2011,23060,45830,24150,28090,Midwest
2010 (37),23240,44830,23880,28770,Midwest
2009 (36),23350,45130,23790,29540,Midwest
2008,23360,46630,24090,29180,Midwest
2007,23300,49880,24050,29880,Midwest
2006,23410,48990,23870,30030,Midwest
2005,23380,49070,24020,28920,Midwest
2004 (35),23130,49150,23890,28240,Midwest
2003,23230,49000,23900,28310,Midwest
2002,22930,49940,23930,27950,Midwest
2001,23050,50630,24350,28240,Midwest
2000 (30),23340,51480,23920,28180,Midwest
